About,Informazioni
"This section includes settings where the values for synchronization have to be taken from.
    <br/><br/>
    <b>Note:</b> If you set <i>Not Set</i>, the auto revise will be turned off by this criteria.
    ","In questa sezione sono incluse le impostazioni relative al punto da cui è necessario acquisire i valori per la sincronizzazione.
    <br/><br/>
    <b>Nota:</b> se scegli <i>Non impostato</i>, la modifica automatica verrà disattivata in base a questo criterio.
    "
The price will be calculated according to Catalog Price Rules (Magento > Promotions > Catalog Price Rules).,Il prezzo verrà calcolato in base alle regole sui prezzi di catalogo (Magento > Promotions > Regole sui prezzi di catalogo).
Updates price on eBay listing(s) when the source of price changes.,Aggiorna il prezzo nelle inserzioni eBay quando viene modificata l'origine del prezzo.
Synchronization Source,Origine sincronizzazione
Quantity,Quantità
Not Set (not changeable on eBay),Non impostato (non modificabile su eBay)
Product QTY,QTA prodotti
Updates quantity on eBay Listing with mapped Magento product quantity.,Aggiorna la quantità nell'inserzione eBay in base alla quantità del prodotto Magento associato.
Product Price,Prezzo prodotto
Special Price,Prezzo speciale
Final Price,Prezzo finale
Which customer group eBay buyers have to be associated to.,Il gruppo di clienti a cui devono essere associati gli acquirenti di eBay.
Updates title on eBay Listing with mapped Magento product title.,Aggiorna il titolo nell'inserzione eBay in base al titolo del prodotto Magento associato.
Subtitle,Sottotitolo
Updates eBay Listing subtitle.,Aggiorna il sottotitolo dell'inserzione eBay.
Product Description,Descrizione del prodotto
Product Short Description,Descrizione breve del prodotto
Updates description on eBay Listing with mapped Magento product description.,Aggiorna la descrizione nell'inserzione eBay in base alla descrizione del prodotto Magento associato.
"Stop Rules define the conditions when eBay items listing should be stopped, depending on Magento product state.
    <br/><br/>
    <b>Note:</b> If all Stop Conditions are set to <i>No</i> or <i>No Action</i>, then the stop option for eBay items is disabled.
    If all Stop Conditions are enablled, then an item will be stopped if at least one of the Stop Conditions is met.","Le regole di interruzione definiscono le condizioni in base alle quali è consigliabile interrompere la messa in vendita degli oggetti eBay, a seconda dello stato del prodotto Magento.
    <br/><br/>
    <b>Nota:</b> se tutte le condizioni di interruzione vengono impostate su <i>No</i> o <i>Nessuna azione</i>, l'opzione di interruzione per gli oggetti eBay viene disabilitata.
    Se tutte le condizioni di interruzione sono abilitate, un oggetto verrà interrotto se viene soddisfatta almeno una delle condizioni di interruzione."
Stop Conditions,Condizioni di interruzione
Stop When Status Disabled,Interrompi quando lo stato è Disabilitato
Automatically stops item(s) if its status has been changed to 'Disabled' in Magento.,"Interrompe automaticamente le inserzioni se il relativo stato è stato impostato su ""Disabilitato"" in Magento."
Stop When Out Of Stock,Interrompi se esaurito
Automatically stops item(s) if its stock availability has been changed to 'Out of Stock' in Magento.,"Interrompe automaticamente le inserzioni se la relativa disponibilità di scorte è stata impostata su ""Esaurito"" in Magento."
Stop When Item QTY Is,Interrompi se QTA oggetti è
Less or Equal,Minore o uguale
More,Altro
Automatically stops item(s) if its Magento quantity has been changed and meets the conditions.,Interrompe automaticamente le inserzioni se la relativa quantità in Magento è stata modificata e soddisfa le condizioni.
Apply Actions On Categories Products to the selected categories.,Applica le azioni su Categorie di prodotti alle categorie selezionate.
"The number shown next to each category is the quantity of products filtered by
    Attribute Set and Products Filter settings of the Listing.<br/><br/>
    There are two modes of products addition:
    <ul class=""list"">
        <li><b>All Products</b> - all products, which are included in selected categories, will be added to the Listing.</li>
        <li><b>Select Manually</b> - the list of products of chosen categories will be shown on the next page after the Next button is pressed at the top right corner.</li>
    </ul>
    <b>Note:</b> If a product belongs to different categories, it will be added to the Listing or shown for manual selection only once.","Il numero mostrato accanto a ogni categoria rappresenta la quantità di prodotti filtrati in base
    alle impostazioni Insieme di attributi e Filtro prodotti dell'Inserzione.<br/><br/>
    Sono disponibili due modalità di aggiunta di prodotti:
    <ul class=""list"">
        <li><b>Tutti i prodotti</b>: verranno aggiunti all'inserzione tutti i prodotti che sono inclusi nelle categorie selezionate.</li>
        <li><b>Seleziona manualmente</b>: l'elenco di prodotti delle categorie scelte verrà mostrato nella pagina successiva dopo aver premuto il pulsante Avanti nell'angolo superiore destro.</li>
    </ul>
    <b>Nota:</b> se un prodotto appartiene a più categorie, sarà aggiunto all'inserzione oppure visualizzato per la selezione manuale una volta sola."
"Displayed products have the same Attribute Set as the Listing you are going to add them to.<br/><br/>
    <b>Note:</b> A product can be added to the listing only once. If a product was added to the Listing earlier, it will not be displayed. ","I prodotti visualizzati dispongono dello stesso insieme di attributi dell'inserzione a cui vengono attualmente aggiunti.<br/><br/>
    <b>Nota:</b> un prodotto pu• essere aggiunto una sola volta all'inserzione. Se un prodotto è stato aggiunto all'inserzione precedentemente, non sarà visualizzato. "
Listing Items,Oggetti inserzione
"This section contains information about product items of chosen listing and their statuses on eBay.<br/>
    You can manage items by choosing appropriate actions from the Actions dropdown of the grid and manage Listing and
    its settings by using buttons in the top right corner.","In questa sezione sono contenute informazioni sugli oggetti dei prodotti dell'inserzione scelta e i relativi stati su eBay.<br/>
    Puoi gestire gli oggetti scegliendo le azioni appropriate nel menu a discesa Azioni della griglia, nonch‚ gestire l'inserzione e
     le relative impostazioni utilizzando i pulsanti nell'angolo superiore destro."
Used in General Template(s),Utilizzato nei modelli generali
Waiting,In attesa
Processing,Elaborazione in corso
Completed,Completato
"<strong>We plan to add this functionality in the future versions.</strong><br/>
    If you have any suggestions, please let us know  <a href=""http://support.m2epro.com/"">http://support.m2epro.com/</a>","<strong>Aggiungeremo questa funzione nelle versioni future.</strong><br/>
    Comunicaci eventuali suggerimenti alla pagina <a href=""http://support.m2epro.com/"">http://support.m2epro.com/</a>"
Message has been successfully sent.,Il messaggio è stato inviato correttamente.
Full Message Text,Testo messaggio completo
My Full Response,La mia risposta completa
Subject,Oggetto
Messages,Messaggi
"Please go to the <a href=""%s"" target=""_blank"">general template</a> and choose Compatibility Attribute.","Vai al <a href=""%s"" target=""_blank"">modello generale</a> e scegli Attributo compatibilità."
Add Compatipable Vehicles,Aggiungi veicoli compatibili
"The grid below contains a list of cars, trucks and motorcycles which can be found on eBay Motors.<br/><br/>
Select items, compatible with your part and choose one of three actions in the Actions dropdown:
<ul class=list>
<li><b>Overwrite ePIDs in Compatibility Attribute</b> - replaces items ePIDs in the Compatibility Attribute chosen in the General Template with selected ones.</li>
<li><b>Add ePIDs to Compatibility Attribute</b> - adds selected items ePIDs to existing ones in Compatibility Attribute chosen in the General Template.</li>
<li><b>Show ePIDs</b> - displays selected items ePIDs in the text field.</li>
</ul>
<b>Note:</b> Compatibility Items of listed products can not be replaced or removed from eBay when you revise or relist product, only new ones can be added in these cases.
","La griglia di seguito contiene un elenco di auto, camion e moto che è possibile trovare su eBay Motori.<br/><br/>
Seleziona oggetti compatibili con il tuo ricambio e scegli una delle tre azioni nel menu a discesa Azioni:
<ul class=list>
<li><b>Sovrascrivi ePID nell'attributo compatibilità</b> - sostituisce gli ePID di oggetto nell'Attributo compatibilità scelto nel Modello generale con quelli selezionati.</li>
<li><b>Aggiungi ePID all'attributo compatibilità</b> - aggiunge gli ePID di oggetti selezionati a quelli presenti nell'Attributo compatibilità scelto nel Modello generale.</li>
<li><b>Mostra ePID</b> - visualizza gli ePID di oggetti selezionati nel campo di testo.</li>
</ul>
<b>Nota:</b> gli oggetti compatibilità dei prodotti elencato non possono essere sostituiti o rimossi da eBay quando modifichi o rimetti in vendita il prodotto; in questi casi è possibile aggiungere solo nuovi oggetti.
"
Selected ePIDs,ePID selezionati
Add Vehicles,Aggiungi veicoli
Order Address Information,Informazioni di registrazione ordine
Buyer Name,Nome dell'acquirente
Buyer E-Mail,E-mail acquirente
Street Address,Via
City,Città
Country,Paese
Region/State,Regione/Stato
Zip/Postal Code,CAP
Telephone,Telefono
"
This page contains all orders imported from eBay.
Use eBay Accounts dropdown to filter eBay orders by accounts.<br/>
If Magento Order, Invoice or / and Shipment was not created automatically,
you can create them manually by using appropriate options in the Action dropdown.<br/><br/>
<b>Note:</b> Automatic creation of Magento Orders, Invoices, and Shipments happens according to the eBay Accounts settings in %s > Configuration > Accounts > Orders.","
In questa pagina sono contenuti tutti gli ordini importati da eBay.
Utilizza il menu a discesa Account eBay per filtrare gli ordini eBay in base agli account.<br/>
Se la creazione dell'ordine, della fattura e/o della spedizione Magento non è stata eseguita automaticamente,
puoi creare questi elementi manualmente utilizzando le opzioni appropriate nel menu a discesa Azione.<br/><br/>
<b>Nota:</b> la creazione automatica di ordini, fatture e spedizioni Magento avviene in base alle impostazioni degli account eBay in %s > Configurazione > Account > Ordini."
eBay Order,Ordine eBay
Selling Manager,Gestore delle vendite
Sale Time,Ora di vendita
Update Time,Ora di aggiornamento
Order Status,Stato ordine
Incomplete,Non completato
Unknown Error,Unknown Error
Not Shipped,Non spedito
Account,Account
Production,Produzione
Sandbox,Sandbox
Buyer Information,Informazioni sull'acquirente
Customer Name,Nome cliente
Private Restriction,Restrizioni sul privato
Shipping Address,Indirizzo per la spedizione
Payment Information,Informazioni per il pagamento
Order Currency,Valuta ordine
Attention!,Attenzione
"Order currency is not enabled in Magento.<br />Please, enable it in System -> Configuration -> Currency Setup.",La valuta dell'ordine non è abilitata in Magento.<br />Abilitala in Sistema -> Configurazione -> Impostazione valuta.
"There's no rate for Order currency in Magento.<br />Please, add currency convert rate in System -> Manage Currency -> Rates.",Nessun tasso per la valuta dell'ordine in Magento.<br />Aggiungi il tasso di conversione della valuta in Sistema -> Gestisci valuta -> Tassi.
Payment Date,Data del pagamento
Payment Method,Metodo di pagamento
eBay Account,Account eBay
eBay Final Fee,Tariffa finale eBay
External Transactions,Transazioni esterne
Shipping & Handling Information,Informazioni sulla spedizione e sull'imballaggio
Shipping Selected Service,Servizio di spedizione selezionato
Shipping Cost,Spese di spedizione
Shipping Time,Tempi di spedizione
Tracking Details,Dettagli sul tracciamento
Carrier,Spedizioniere
Number,Numero
Transaction Item(s),Oggetti della transizione
Log History,Cronologia registro
Order Totals,Totali ordine
Subtotal,Totale parziale
Shipping & Handling,Spedizione e imballaggio
Tax,Imposte
Grand Total,Totale
Amount Paid,Importo pagato
Amount Saved,Importo salvato
"This section allows you to set preferences of data synchronization.<br/>
    You have to enable / disable synchronization tasks, which will be automatically performed for all eBay accounts, and <span style=""text-decoration: underline;"">Save Settings</span>.<br/>
    To run necessary task manually, click the <span style=""text-decoration: underline;"">Run Now</span> button, to run all tasks at once, click <span style=""text-decoration: underline;"">Run Enabled Now</span>.<br/>
    <br/><b>Note:</b> Cron job must be set up for automatic synchronization. Otherwise, you will have to perform the synchronization manually.","In questa sezione è possibile impostare le preferenze della sincronizzazione dati.<br/>
    Devi abilitare/disabilitare le attività di sincronizzazione che saranno effettuate automaticamente per tutti gli account eBay e fare clic su <span style=""text-decoration: underline;"">Salva impostazioni</span>.<br/>
    Per eseguire manualmente l'attività necessaria, fai clic sul pulsante <span style=""text-decoration: underline;"">Esegui ora</span>, mentre per eseguire tutte le attività contemporaneamente, fai clic su <span style=""text-decoration: underline;"">Esegui ora attività abilitate</span>.<br/>
    <br/><b>Nota:</b> il processo cron deve essere impostato per la sincronizzazione automatica. In caso contrario, dovrai effettuare manualmente la sincronizzazione."
Templates Synchronization,Sincronizzazione modelli
Updates and synchronizes eBay Listings according to<br/>Synchronization Templates' rules.,Aggiorna e sincronizza le inserzioni eBay in base alle<br/>regole dei modelli di sincronizzazione.
Orders Synchronization,Sincronizzazione ordini
"Imports and synchronizes eBay Orders for accounts,<br/>which have enabled Import eBay Orders in their<br/>Accounts settings.",Importa e sincronizza gli ordini eBay per gli account<br/>che hanno abilitato Importa ordini eBay nelle<br/>impostazioni degli account.
Imports buyers' feedbacks and automatically sends<br/>Auto Responses according to eBay Accounts settings.,Importa i Feedback degli acquirenti e invia automaticamente le<br/>risposte automatiche in base alle impostazioni degli account eBay.
3rd Party Listings Synchronization,Sincronizzazione inserzioni di terze parti
"Imports and synchronizes 3rd Party Listings for eBay<br/>accounts, which have enabled Import 3rd Party Listings<br/>in their Accounts settings.",Importa e sincronizza le inserzioni di terze parti per gli account eBay<br/>che hanno abilitato Importa inserzioni di terze parti<br/>nelle impostazioni degli account.
My Messages Synchronization,Sincronizzazione dei miei messaggi
Imports buyers' messages according to<br />eBay Accounts settings.,Importa i messaggi degli acquirenti in base alle<br />impostazioni degli account eBay.
"Description Template is used to design your items' description on eBay. <br/>
    <br/>It is possible to choose a Product Description or Product Short Description, which will be taken from Magento.
    Or you can create a Custom Description by adding necessary information,
    appropriate attributes from dropdown lists and image tags.
    <br/><br/>It is possible to create custom description in 2 modes:
    <ul class=""list"">
        <li><b>WYSIWYG</b> - allows creating simple good looking product description. No HTML knowledge is required.</li>
        <li><b>HTML</b> - allows using HTML tags and CSS styles for the description. You can create much more complex, improved and advanced item's description using this mode.</li>
    </ul>
    <b>Note:</b> Listing Titles are limited to 80 characters and Subtitles are limited to 55 characters on eBay.<br/>","Nel modello Descrizione puoi immettere la descrizione degli oggetti messi in vendita su eBay. <br/>
    <br/>È possibile scegliere Descrizione prodotto o Descrizione breve prodotto; entrambe saranno acquisite da Magento.
    In alternativa puoi creare una descrizione personalizzata aggiungendo le informazioni necessarie,
    gli attributi appropriati negli elenchi a discesa e i tag immagine.
    <br/><br/>La descrizione personalizzata pu• essere creata in due modi:
    <ul class=""list"">
        <li><b>WYSIWYG</b>: consente di creare una descrizione del prodotto semplice, ma accattivante. Non è necessario conoscere il linguaggio HTML.</li>
        <li><b>HTML</b>: consente di utilizzare i tag HTML e gli stili CSS per la descrizione. Utilizzando questo modo puoi creare una descrizione dell'oggetto molto più complessa e avanzata.</li>
    </ul>
    <b>Nota:</b> su eBay i titoli delle inserzioni sono limitati a 80 caratteri, mentre i sottotitoli a 55.<br/>"
The specified title is already used for other template. Template title must be unique.,Il titolo specificato è già utilizzato per un altro modello. Il titolo del modello deve essere univoco.
You should select Attribute Sets first and press Confirm button.,Innanzitutto è necessario selezionare Insiemi di attributi e premere il pulsante Conferma.
Adding Image,Aggiunta immagine
Short meaningful template title for your internal use.,Titolo del modello breve e significativo per uso interno.
Product Attribute Sets,Insiemi di attributi prodotti
Attribute Sets of products which will be listed on eBay<br />using this template.,Insiemi di attributi di prodotti che verranno messi in vendita su eBay<br />utilizzando questo modello.
Item Details,Dettagli dell'oggetto
Custom Title,Titolo personalizzato
Item's title that buyers will see on eBay listing.,Titolo dell'oggetto che gli acquirenti visualizzeranno nell'inserzione eBay.
Add Subtitle,Aggiungi un sottotitolo
Adding subtitle to eBay item.,Aggiunta di un sottotitolo all'oggetto eBay.
Cut Long Titles,Abbrevia titoli lunghi
Automatically shortens items' titles to 80 characters and subtitles to 55 characters.,Abbrevia automaticamente i titoli degli oggetti a 80 caratteri e i sottotitoli a 55 caratteri.
Hit Counter,Contatore visite
No Hit Counter,Nessun contatore visite
Basic Style,Stile standard
Green LED,Spia verde
Hidden Style,Stile nascosto
Honesty Style,Stile honesty
Retro Style,Stile retro
"Adding the tool that counts the visitors' number of eBay listing.<br/>Note: Green LED, Honesty Style and Retro Style styles are available only on US-store.","Aggiunta dello strumento che conta il numero di visitatori dell'inserzione eBay.<br/>Nota: gli stili Spia verde, Stile honesty e Stile retro sono disponibili solo nei negozi statunitensi."
Images,Immagini
Main Item Image,Immagine oggetto principale
Product Base Image,Immagine di base prodotto
Image you will see on your eBay listing.,Immagine che visualizzerai nell'inserzione eBay.
Product Image Attribute,Attributo immagine prodotto
"Choose Media Image Attribute or Attribute, that contains absolute url.
                                <br/>e.g. http://mymagentostore.com/images/baseimage.jpg","Scegli Attributo immagine multimediale o Attributo in cui è contenuto un URL assoluto.
                                <br/>ad esempio http://mymagentostore.com/images/baseimage.jpg"
Picture Pack,Pacchetto fotografico
"Displays larger, more detailed pictures (up to 800w x 800h pixels - 800 pixels on the longest side). <br/>Note: This feature may come with additional fee.",Visualizza immagini più grandi e dettagliate (fino a 800w x 800h pixel - 800 pixel sul lato più lungo).  <br/>Nota: questa funzione viene fornita con il pagamento di una tariffa aggiuntiva.
Item Gallery Images,Immagini galleria oggetto
Product Images,Immagini prodotto
Adds small thumbnails that appear under the large Base Image.,Aggiunge miniature di piccole dimensioni che appaiono sotto l'immagine di base grande.
Gallery Images Attribute,Attributo immagini galleria
"Choose Text, Multiple Select or Dropdown type attribute. In Text type attribute urls must be separated with comma.
                                <br/>e.g.  http://mymagentostore.com/images/baseimage1.jpg,  http://mymagentostore.com/images/baseimage2.jpg","Scegli attributo di tipo Testo, Selezione multipla o Menu a discesa Nell'attributo del tipo Testo, gli url devono essere separati da una virgola.
                                <br/>e.g.  http://mymagentostore.com/images/baseimage1.jpg,  http://mymagentostore.com/images/baseimage2.jpg"
Gallery Images Quantity,Quantità immagini galleria
Up to,Fino a
The number of images in item's gallery.,Numero di immagini nella galleria dell'oggetto.
Variation of Configurable Products Images for Attribute,Variante di immagini di prodotti configurabili per l'attributo
"Only for Configurable products. Determines option at which images should change on eBay.<br/>Note: If several Attribute Sets have been chosen, only common attributes are shown.","Solo per prodotti configurabili. Determina l'opzione in base a cui le immagini dovrebbero cambiare su eBay.<br/>Nota: se sono stati scelti diversi insiemi di attributi, vengono mostrati solo quelli comuni."
Watermark,Filigrana
"This section allows adding custom watermark to your main and item gallery images.
                    <br/><br/>
                    <b>Note:</b> If products images are not taken from the same server where Magento Store is, the watermark will not be applied.","In questa sezione è possibile aggiungere una filigrana personalizzata alle immagini principali e della galleria di oggetti. 
                    <br/><br/>
                    <b>Nota:</b> se le immagini dei prodotti non sono tratte dallo stesso server in cui si trova il negozio Magento, la filigrana non verrà applicata."
Use Watermark,Utilizza filigrana
Automatically adds your custom watermark to gallery images.,Aggiunge automaticamente la tua filigrana personalizzata alle immagini della galleria.
Watermark Upload,Caricamento filigrana
Select image that you want to add as a watermark.,Seleziona l'immagine che desideri aggiungere come filigrana.
Watermark Uploaded Image,Immagine caricata come filigrana
Watermark Transparency,Trasparenza filigrana
Disable,Disabilita
Enable,Abilita
Sets transparency of watermark image to 30 %.,Imposta la trasparenza dell'immagine della filigrana su 30%.
Scale Watermark Image,Ridimensiona immagine filigrana
In Width,In larghezza
Full Image,Immagine intera
Scales watermark image in width or full image.,Ridimensiona l'immagine della filigrana in larghezza o l'immagina intera.
Watermark Position,Posizione filigrana
Top,Inizio
Middle,Al centro
Bottom,In basso
Watermark position on the image.,Posizione della filigrana sull'immagine.
Description Source,Origine descrizione
Custom Description,Descrizione personalizzata
Item's description source for eBay Listing.,Origine della descrizione dell'oggetto per l'inserzione eBay.
Click the button to switch between HTML and WYSIWYG modes.,Fai clic sul pulsante per passare dalla modalità HTML a quella WYSIWYG.
Custom Description Inserts,Inserti descrizione personalizzata
Product Attribute,Attributo prodotto
Attributes related to the previously chosen Attribute Set.,Attributi correlati all'Insieme di attributi scelto in precedenza.
Product Image(s),Immagini prodotto
Add Image(s),Aggiungi immagini
Displaying Images,Visualizzazione immagini
Custom Settings,Impostazioni personalizzate
Gallery View,Galleria
Image(s) Width,Larghezza immagini
Main Image Width,Larghezza immagine principale
Original,Originale
Custom,Personalizza
Image(s) Height,Altezza immagini
Main Image Height,Altezza immagine principale
Image(s) Margin,Margine immagini
Images Layout,Layout immagini
Horizontal,Orizzontale
Vertical,Verticale
Gallery Hint,Suggerimento galleria
Click on the image below to get zoomed view of the item,Fai clic sull'immagine seguente per ottenere una vista ingrandita dell'oggetto
Open original size image<br/> in a new  window,Apri l'immagine con le dimensioni originali<br/> in una nuova finestra
Choose configuration how the image(s) should be displayed and press the <i>Insert</i> button. Image's tag will be added to the end of the text.,Scegli la configurazione relativa alla visualizzazione delle immagini e premi il pulsante <i>Inserisci</i>. Il tag immagine verrà aggiunto alla fine del testo.
Select Product,Seleziona il prodotto
Enter Product Id,Immetti ID prodotto
or,o
"General Template contains basic settings which are required for listing items on eBay.<br/><br/>
    <b>Note:</b> Before General Template creating Marketplaces should be uploaded (Configuration > Marketplaces).
    Otherwise, categories and marketplaces will not be displayed.","Il modello generale contiene le impostazioni di base obbligatorie per la messa in vendita di oggetti su eBay.<br/><br/>
    <b>Nota:</b> prima della creazione del modello generale è consigliabile caricare i mercati (Configurazione > Mercati).
    In caso contrario, le categorie e i mercati non verranno visualizzati."
You should select a Marketplace first.,Seleziona prima un mercato.
"Please, choose a Primary eBay Category to have an access to this section.",Scegli una categoria eBay principale per poter accedere a questa sezione.
Please enter the Category ID.,Immetti l'ID della categoria.
Marketplace,Paese
Only the marketplaces chosen in Configuration > Marketplaces are shown for selection.,Vengono visualizzati per la selezione solo i mercati scelti in Configurazione > Mercati.
eBay accounts you have already added in Configuration > eBay Accounts.,Account eBay che hai già aggiunto in Configurazione > Account eBay.
eBay Categories,Categorie eBay
Category Source,Origine categoria
Where the categories data should be taken from.,Punto da cui è consigliabile acquisire i dati sulle categorie.
Primary Category Attribute,Attributo categoria principale
Choose the attribute contains Primary eBay Category ID.,Scegli l'attributo che contiene l'ID della categoria eBay principale.
Primary Category,Categoria principale
or Category ID,o ID categoria
Secondary Category Attribute,Attributo categoria secondaria
Choose the attribute contains Secondary eBay Category ID.,Scegli l'attributo che contiene l'ID della categoria eBay secondaria.
Secondary Category,Categoria secondaria
Tax Category,Categoria imposte
This is to be used only by sellers who have opted into sales tax<br /> being calculated by a sales tax calculation vendor.,Questa opzione deve essere utilizzata solo dai venditori che hanno scelto di affidarsi a un consulente per il calcolo delle<br /> imposte sulla vendita.
Tax Category Attribute,Attributo categoria imposte
eBay Store Categories,Categorie negozio eBay
eBay Store Name,Nome negozio eBay
Primary Category Source,Origine categoria principale
---,---
Where the Primary eBay Store category data should be taken from.,Punto da cui è consigliabile acquisire i dati sulla categoria principale del negozio eBay.
Choose the attribute contains Primary eBay Store Category ID.,Scegli l'attributo che contiene l'ID della categoria del negozio eBay principale.
Secondary Category Source,Origine categoria secondaria
Where the Secondary eBay Store category data should be taken from.,Punto da cui è consigliabile acquisire i dati sulla categoria secondaria del negozio eBay.
Choose the attribute contains Secondary eBay Store Category ID.,Scegli l'attributo che contiene l'ID della categoria del negozio eBay secondaria.
Multi Variation,più varianti
Multi Variation Disabled,Funzione più varianti disabilitata
"Selected eBay marketplace does not allow creating multi variation eBay listings.
                <br/>Configurable, Bundle, Grouped and Simple Products with Custom Options will be listed as regular eBay items. All variations will be ignored.","Il mercato eBay selezionato non consente la creazione di inserzioni eBay con più varianti.
                <br/>I prodotti configurabili, in pacchetti, raggruppati e semplici con opzioni personalizzate verranno messi in vendita come oggetti eBay normali. Tutte le varianti saranno ignorate."
Multi Variation Enabled,Funzione più varianti abilitata
"Selected Primary eBay category allows creating multi variation listings.
                <br/>Configurable, Bundle, Grouped and Simple Products with Custom Options can be listed as multi variation eBay items.<br/><br/>
                <b>Note:</b> eBay allows listing items with variations only in Fixed Price listing (in Auction listing type all variation
                will be ignored) and the Best Offer option is not used in this case (it will be ignored if it was set in your Selling Format
                Template).","La categoria eBay principale selezionata consente la creazione di inserzioni con più varianti.
                <br/>I prodotti configurabili, in pacchetti, raggruppati e semplici con opzioni personalizzate possono essere messi in vendita come oggetti eBay con più varianti.<br/><br/>
                <b>Nota:</b> eBay consente la messa in vendita di oggetti con varianti solo nelle Inserzioni Compralo Subito (nel tipo di inserzione Asta online saranno ignorate
                tutte le varianti); inoltre, in questo caso, l'opzione Proposta d'acquisto non viene utilizzata (verrà ignorata se è stata impostata nel modello
                di formato di vendita)."
"Selected Primary eBay category does not allow creating multi variation eBay listings.
                <br/>Configurable, Bundle, Grouped and Simple Products with Custom Options will be listed as regular eBay items. All variations will be ignored.","La categoria eBay principale selezionata non consente la creazione di inserzioni eBay con più varianti.
                <br/>I prodotti configurabili, in pacchetti, raggruppati e semplici con opzioni personalizzate verranno messi in vendita come oggetti eBay normali. Tutte le varianti saranno ignorate."
Ignore Variations,Ignora varianti
"If <i>Yes</i>, the variations of products will be ignored.","Se si imposta <i>Sì</i>, le varianti dei prodotti saranno ignorate."
Inventory Information,Informazioni magazzino
"If <i>Yes</i>, the Product SKU will be used as a Custom Label.","Se si imposta <i>Sì</i>, il codice prodotto sarà utilizzato come etichetta personalizzata."
"You should specify payment method(s) you can offer your buyers.<br/><br/>
    <b>Note:</b> At least one payment method should be specified.","Specifica i metodi di pagamento che puoi offrire agli acquirenti.<br/><br/>
    <b>Nota:</b> è necessario specificare almeno un metodo di pagamento."
"Max applicable length is 6 characters, including the decimal (e.g., 12.345).","La lunghezza massima applicabile è 6 caratteri, inclusi i decimali, ad esempio 12,345."
Payment method should be specified.,È consigliabile specificare un metodo di pagamento.
PayPal payment method should be specified for Cross Border trade.,"Per le transazioni internazionali, è consigliabile specificare il metodo di pagamento PayPal."
Cash On Delivery payment method is required.,Il metodo di pagamento con contrassegno è obbligatorio.
PayPal,PayPal
PayPal Accepted,PayPal accettato
PayPal Email Address,Indirizzo email PayPal
Email address for receiving payment.,Indirizzo email per ricezione pagamento.
Require Immediate Payment,Richiedi pagamento immediato
"Only applicable to items listed on PayPal-enabled sites in categories that support immediate payment, when a seller has a Premier or Business PayPal account.","Applicabile solo agli oggetti messi in vendita sui siti abilitati per PayPal nelle categorie che supportano il pagamento immediato, quando un venditore dispone di un conto PayPal Premier o Business."
Additional Payment Methods,Ulteriori metodi di pagamento
Please select eBay Category to have access to this section,Seleziona la categoria eBay per poter accedere a questa sezione
Payment Methods,Metodi di pagamento
"Sellers are obliged to specify a return policy when listing an item on eBay.
    Even if the policy is do not accept returns, buyers should know this before bidding or buying.<br/>
    It is recommended to accept and specify a clear return policy, as it can give buyers confidence to bid or buy and
    prevent problems after the sale.<br/><br/>
    <b>Note:</b> Return Policy settings may vary depending on the marketplaces and categories.","I venditori sono obbligati a specificare le regole sulla restituzione quando mettono in vendita un oggetto su eBay.
    Anche se nelle regole non è prevista l'accettazione di restituzioni, gli acquirenti devono esserne a conoscenza prima di fare un'offerta o un acquisto.<br/>
    È consigliabile accettare e specificare regole sulla restituzione chiare; in questo modo si ottiene la fiducia degli acquirenti durante le operazioni di offerta o acquisto e
    si evitano problemi dopo la vendita.<br/><br/>
    <b>Nota:</b> le impostazioni delle regole sulla restituzione possono variare a seconda dei mercati e delle categorie."
Refund Will Be Given As,Modalità di rimborso
Item Must Be Returned Within,L'oggetto deve essere restituito entro
Return Shipping Will Be Paid By,Le spese di spedizione della restituzione saranno pagate da
Restocking Fee Value,Tariffa di stoccaggio
Refund Description,Descrizione rimborso
"This tab allows you to determine information about how, when and where your products will be shipped from.","In questa scheda è possibile determinare le informazioni sulla modalità, sui tempi e sul luogo relativi alla spedizione dei tuoi prodotti."
Location or Zip/Postal Code should be specified.,È necessario specificare il luogo o il codice postale.
You should specify at least one shipping method.,È necessario specificare almeno un metodo di spedizione.
Select one or more international ship-to locations.,Seleziona uno o più luoghi di spedizione internazionale.
Item Location,Luogo in cui si trova l'oggetto
Country your product will be shipped from.,Paese da cui verrà spedito il prodotto.
Zip/Postal Code of the item location that is used for searches by location.,Codice postale del luogo in cui si trova l'oggetto utilizzato per le ricerche effettuate in base al luogo.
"City, State",Città
"City, State for the location from which the package will be shipped.","Città, stato per il luogo da cui verrà spedito il pacchetto."
Taxation,Tassazione
Use eBay Tax Table,Utilizza tabella imposte eBay
Charges sales tax according to the tax table of your eBay account.,Addebita le imposte sulla vendita in base alla tabella delle imposte del tuo account eBay.
"VAT Rate, %","Percentuale IVA, %"
"To specify it, a seller must have business eBay account and must be listing the item on a VAT-enabled site.","Per specificarla, un venditore deve disporre di un account eBay Business e l'oggetto deve essere messo in vendita su un sito abilitato per l'IVA."
Domestic Shipping,Spedizione nazionale
Flat: same cost to all buyers,Fissa: stessa tariffa per tutti gli acquirenti
Calculated: cost varies by buyer location,Calcolata: il costo varia in base al luogo in cui si trova l'acquirente
Freight: large items,Trasporto: oggetti grandi
No Shipping: local pickup only,Non è prevista la spedizione: ritiro dell'oggetto solo in zona
