About,Info
Be attentive! By deleting account you delete all information on it from M2E Pro server. This will cause inappropriate work of all accounts' copies.,"Bitte beachten Sie: Wenn Sie ein Konto löschen, werden alle damit verbundenen Informationen vom M2E Pro-Server gelöscht. Dies kann dazu führen, dass die Kopien des Kontos nicht richtig funktionieren."
The specified title is already used for other account. Account title must be unique.,Die eingegebene Bezeichnung wird bereits für ein anderes Mitgliedskonto verwendet. Die Bezeichnung Ihres Kontos muss einzigartig sein.
You must get token.,Sie müssen den Token abrufen.
Title or identifier of eBay account for your internal use.,Bezeichnung oder ID des eBay-Mitgliedskontos zu Ihrer internen Verwendung.
Mode,Modus
Production (Live eBay),Production (Live eBay)
Sandbox (Test eBay),Sandbox (eBay-Testmodul)
Environment of eBay account.,Die Umgebung bzw. das Modul des eBay-Mitgliedskontos.
Token,Token
Grant Access,Zugriff gewähren
"The  operation of getting token is limited to 5 minutes by eBay. If you exceed it, you should start getting token again.","Die Zeit für das Abrufen des Tokens darf bei eBay maximal 5 Minuten betragen. Wird diese Zeit überschritten, sollten Sie den Vorgang zum Abrufen des Tokens erneut starten."
Activated,Aktiviert
Expiration Date,Gültig bis
My Messages Import,Nachrichten importieren
"Here you can enable receiving and saving buyers' messages.<br/><br/>
                        <b>Note:</b> To allow receiving messages from eBay, My Messages Synchronization should be enabled in eBay > Configuration > Synchronization.","Hier können Sie den Empfang und das Speichern von Käufernachrichten aktivieren.<br/><br/>
                        <b>Hinweis:</b> Um Nachrichten von eBay empfangen zu können, muss die Synchronisierung mit „Nachrichten“ unter eBay > Konfiguration > Synchronisierung aktiviert sein."
Import My Messages,Nachrichten importieren
Allows importing My Messages.,Ermöglicht das Importieren von Nachrichten.
"If Yes is chosen, you must select at least one attribute for product mapping.","Wenn Sie „Ja“ ausgewählt haben, müssen Sie mindestens ein Attribut für die Produktzuordnung bestimmen."
"The 3rd Party Listings are the items, which were listed on eBay without using M2E Pro
                extension. <br/>
                To allow importing of these listings for the current eBay Account, set Import eBay listings to <i>Yes</i>.
                Imported Listings can be found in %s > Manage Listings > 3rd Party Listings.
                <br/><br/>

                <b>Note:</b> The 3rd Party Listings Synchronization must be enabled in %s > Configuration > Synchronization.
                <br/><br/>
                To map the products of the 3rd Party Listings with existing products in Magento by Custom Label (SKU)
                or Title, set Product Mapping to <i>Yes</i> and choose appropriate attribute(s).
                A Magento product will be mapped if at least one of the chosen attributes meets the same
                value in eBay Listing as it has in Magento.
                <br/><br/>
                Mapped 3rd Party Listings can be synchronized according to the rules you can set by clicking on the Synchronization Settings button.
                <br/><br/>
                <b>Note:</b> Auto mapping action is performed only once during the first
                3rd Party Listings Synchronization. Afterwards, it can be performed manually on
                the 3rd Party Listings page (%s > Manage Listings > 3rd Party Listings).

                ","Die Angebote von Drittanbietern sind die Artikel, die ohne die M2E Pro
                 Erweiterung bei eBay eingestellt wurden. <br/>
                Wenn Sie den Import dieser Angebote für das aktuelle eBay-Mitgliedskonto zulassen möchten, wählen Sie <i>Ja</i> für „eBay-Angebote importieren“.
                Importierte Angebote finden Sie unter %s > Angebote verwalten > Angebote von Drittanbietern.
                <br/><br/>

                <b>Hinweis:</b> Die Synchronisierung der Angebote von Drittanbietern muss unter %s > Konfiguration > Synchronisierung aktiviert sein.
                <br/><br/>
                Um die Produkte aus Angeboten von Drittanbietern mit vorhandenen Produkten in Magento über die Lagerhaltungsnummer (Bestandseinheit)
                oder Artikelbezeichnung verknüpfen zu können, müssen Sie die Produktzuordnung auf <i>Ja</i> setzen und das/die entsprechende(n) Attribut(e) wählen.
                Produkte in Magento werden zugeordnet, wenn mindestens eines der gewählten Attribute denselben
                 Wert im eBay-Angebot hat wie in Magento.
                <br/><br/>
                Zugeordnete Angebote von Drittanbietern können entsprechend den Regeln synchronisiert werden, die Sie durch Klicken auf „Synchronisierungseinstellungen“ definieren können.
                <br/><br/>
                <b>Hinweis:</b> Die automatische Zuordnung erfolgt nur einmalig bei der ersten Synchronisierung der
                Angebote von Drittanbietern. Die automatische Zuordnung kann danach aber jederzeit manuell auf der Seite der 
                Angebote von Drittanbietern durchgeführt werden (%s > Angebote verwalten > Angebote von Drittanbietern).

                "
Import 3rd Party Listings,Angebote von Drittanbietern importieren
Allows importing 3rd Party Listings.,Ermöglicht das Importieren von Angeboten von Drittanbietern.
Product Mapping,Produktzuordnung
Maps eBay product with Magento product.,Verknüpft eBay-Produkte mit Magento-Produkten.
Attributes Of Mapping eBay Items To Magento Products,Attribute für die Zuordnung von eBay-Artikeln zu Magento-Produkten
Custom Label (SKU),Lagerhaltungsnummer (SKU)
None,Keine
Product SKU,Produkt-Bestandseinheit
Custom Attribute,Benutzerdefiniertes Attribut
Priority,Priorität
Listing Title,Artikelbezeichnung
Product Name,Produktbezeichnung
Synchronization of Mapped Items,Synchronisierung zugeordneter Artikel
Enabled,Aktiviert
Enables / Disables synchronization of Mapped 3rd Party<br/>Listings for the current account.,Aktiviert/Deaktiviert die Synchronisierung zugeordneter Angebote von<br/>Drittanbietern für das aktuelle Mitgliedskonto.
Settings for 3rd Party Listings Synchronization.,Einstellungen für die Synchronisierung der Angebote von Drittanbietern.
Related Store Views,Verknüpfte Shop-Ansichten
Related Store View,Verknüpfte Shop-Ansicht
"This section displays all <i>Enabled</i> Marketplaces in eBay > Configuration > Marketplaces.
And allows you to choose Store Views the items' information for Synchronization processes have to be taken from depending on the 3rd Party Listing Marketplaces.
<br/><br/>
<b>Note:</b> If the product doesn't have information in specified Store View, then all necessary data will be taken from default values of this product.
","In diesem Abschnitt werden alle Marktplätze angezeigt, für die unter eBay > Konfiguration > Marktplätze der Status <i>Aktiviert</i> festgelegt wurde.
Hier können Sie auch die Shop-Ansichten wählen, aus denen die Informationen für die Synchronisierungsvorgänge je nach den aktivierten Marktplätzen für die Angebote von Drittanbietern entnommen werden sollen.
<br/><br/>
<b>Hinweis:</b> Wenn keine Informationen in der Shop-Ansicht des Produkts vorhanden sind, werden alle erforderlichen Daten aus den Standardwerten für das Produkt übernommen.
"
"
This tab contains settings of eBay Orders, eBay Customers import; Magento Orders and Products creation.<br/>
If you set Import eBay Orders to <i>Yes</i>, a new eBay order will be imported to the system and can be found in %s > Sales > eBay Orders.<br/><br/>
It is possible to allow auto creation of Magento Orders based on imported eBay Orders for products listed by:
<ul class=""list"">
    <li>M2E Pro;</li>
    <li>Any Other Software.</li>
</ul>
<b>Note:</b> The Product Stock QTY only reduces after Magento Order creation.<br/>
These type of orders can be managed as typical Magento Orders in Magento > Sales > Orders.<br/><br/>
<b>Note:</b> To receive orders from eBay, Order Synchronization must be enabled in %s > Configuration > Synchronization.","
Diese Registerkarte enthält Einstellungen von eBay-Bestellungen, importierten eBay-Kundendaten, Magento-Bestellungen und Produkterstellungsdaten.<br/>
Wenn Sie <i>Ja</i> für „eBay-Bestellungen importieren“ wählen, werden neue eBay-Bestellungen in das System importiert und sind anschließend unter %s > Verkäufe > eBay-Bestellungen zu finden.<br/><br/>
Sie können die automatische Erstellung von Magento-Bestellungen basierend auf importierten eBay-Bestellungen für Produkte, die mit folgender Software eingestellt wurden, aktivieren unter:
<ul class=""list"">
    <li>M2E Pro;</li>
    <li>beliebige andere Software .</li>
</ul>
<b>Hinweis:</b> Die Stückzahl der verfügbaren Artikel wird erst nach der Erstellung der Magento-Bestellung reduziert.<br/>
Diese Art von Bestellungen kann als typische Magento-Bestellung unter Magento > Verkäufe > Bestellungen verwaltet werden.<br/><br/>
<b>Hinweis:</b> Um Bestellungen von eBay übernehmen zu können, muss die Bestellungssynchronisierung unter %s > Konfiguration > Synchronisierung aktiviert sein."
No Customer entry is found for specified ID.,Es wurde kein Kundeneintrag für die eingegebene ID gefunden.
Import eBay Orders,eBay-Bestellungen importieren
Allows importing orders from eBay to M2E Pro.,Ermöglicht das Importieren von Bestellungen aus eBay in M2E Pro.
Product Is Listed By M2E Pro,Produkt wurde mit M2E Pro eingestellt
Create Order in Magento,Bestellung in Magento erstellen
Whether an order have to be created in Magento if a sold product belongs to M2E Pro Listings.,"Legen Sie fest, ob eine Bestellung in Magento erstellt werden soll, wenn ein verkauftes Produkt zu den M2E Pro-Angeboten gehört."
Store View Source,Quelle der Shop-Ansicht
Use Store View from Listing,Shop-Ansicht aus Angebot verwenden
Choose Store View Manually,Shop-Ansicht manuell auswählen
If Store View have to be automatically taken from the listing or manually chosen from available Store View values.,"Legen Sie fest, ob die Shop-Ansicht automatisch aus dem Angebot übernommen oder manuell aus den verfügbaren Werten für Shop-Ansichten gewählt werden soll."
Store View,Shop-Ansicht
Store in which orders will be placed.,"Shop, in dem Bestellungen aufgegeben werden."
Product Is Listed By Any Other Software,Produkt wurde mit anderer Software eingestellt
Whether an order have to be created in Magento if a sold product does not belong to M2E Pro Listings.,"Legen Sie fest, ob eine Bestellung in Magento erstellt werden soll, wenn ein verkauftes Produkt nicht zu den M2E Pro-Angeboten gehört."
Product Not Found,Produkt nicht gefunden
Do Not Create Order,Bestellung nicht erstellen
Create Product and Order,Produkt und Bestellung erstellen
What have to be done if a listed product does not exist in Magento.,"Legen Sie fest, was geschehen soll, wenn ein eingestelltes Produkt nicht in Magento existiert."
"<b>Note:</b> If there is a product with variations on eBay, a Simple product instead of product with variations is created in Magento.","<b>Hinweis:</b> Wenn ein Produkt mit Varianten bei eBay eingestellt ist, wird in Magento anstelle eines Produkts mit Varianten ein einfaches Produkt erstellt."
Product Tax Class,Produkt-Steuerklassen
Tax Class which will be used in products created by M2E Pro.,"Die Steuerklassen, die für die mit M2E Pro erstellten Produkte verwendet werden."
Customer Settings,Kundeneinstellungen
Customers,Kunden
"There are several ways to specify a customer for which Magento Orders will be created:
                <ul class=""list"">
                    <li><b>Guest Account</b> - the system does not require a customer account to be created. Default Guest Account will be defined as a customer. <br/>
                    <b>Note:</b> The Guest Checkout option must be enabled in Magento. (<i>Yes</i> must be chosen in the Allow Guest Checkout option in Magento > System > Configuration > Sales > Checkout tab). </li>
                    <li><b>Predefined Customer</b> - the system uses one predefined customer for all eBay orders related to this account. You will be required
                    to provide an ID of the existing Customer, which you can find in Magento > Customers > Manage Customers table.</li>
                    <li><b>Create New</b> - a new customer will be created in Magento, using eBay customer data of eBay Order.
                    <br/><b>Note:</b> A unique customer identifier is his e-mail address. If the one already exists among Magento customers e-mails,
                    the system uses this customer as owner of order and links order to him. A new customer will not be created.</li>
                </ul>","Kunden, für die Magento-Bestellungen erstellt werden, können auf verschiedene Arten festgelegt werden:
                <ul class=""list"">
                    <li><b>Gästekonto</b> – Es muss nicht zwingend ein Kundenkonto im System erstellt werden. Standard-Gästekonten werden als Kundenkonten definiert. <br/>
                    <b>Hinweis:</b> Die Option für die Kaufabwicklung mit einem Gästekonto muss in Magento aktiviert werden. (Wählen Sie dazu <i>Ja</i> als Wert für die Option „Kaufsabwicklung mit Gästekonto erlauben“ auf der Registerkarte Magento > System > Konfiguration > Verkäufe > Kaufabwicklung). </li>
                    <li><b>Vordefinierter Kunde</b> – Das System verwendet einen vordefinierten Kunden für alle mit diesem Konto verbundenen eBay-Bestellungen. Sie müssen eine
                    ID für das existierende Kundenkonto eingeben. Diese finden Sie in der Tabelle Magento > Kunden > Kunden verwalten.</li>
                    <li><b>Neu erstellen</b> – Es wird ein neuer Kunde in Magento mithilfe der eBay-Kundendaten der eBay-Bestellung angelegt.
                    <br/><b>Hinweis:</b> Eine eindeutige Kunden-ID ist zum Beispiel die E-Mail-Adresse des Kunden. Wenn die E-Mail bereits unter den Magento-Kunden vorhanden ist,
                    behandelt das System diesen Kunden als Besteller und verknüpft die Bestellung mit seinem Konto. Es wird kein neuer Kunde erstellt.</li>
                </ul>"
Customer,Kunde
Guest Account,Gästekonto
Predefined Customer,Vordefinierter Kunde
Create New,Neu erstellen
Customer for which Magento Orders will be created.,"Der Kunde, für den Magento-Bestellungen erstellt werden."
Customer ID,Kunden-ID
Enter Magento customer ID.,Geben Sie die Magento-Kunden-ID ein.
Associate to Website,Website zuordnen
-- Please Select --,-- Bitte auswählen --
Website in which a customer account will be created.,"Die Website, auf der ein Kundenkonto erstellt wird."
Customer Group,Kundengruppe
Customer Group to which a customer will be assigned.,"Die Kundengruppe, der ein Kunde zugewiesen wird."
Subscribe to Newsletter,Newsletter abonnieren
Select <i>Yes</i> to subscribe a new customer to newsletters.,"Wählen Sie <i>Ja</i>, wenn Newsletter für einen neuen Kunden abonniert werden sollen."
Send Emails When The Following Is Created,"E-Mail senden, wenn folgende Elemente erstellt wurden"
Customer Account,Kundenkonto
Magento Order,Magento-Bestellung
Invoice,Rechnung
"Necessary emails will be sent according to Magento settings in Magento > System > Configuration > Sales Emails.<br/>Hold Ctrl button, to choose more, than one option.","Alle erforderlichen E-Mails werden entsprechend den unter Magento > System > Konfiguration > Verkaufs-E-Mails festgelegten Magento-Einstellungen versendet.<br/>Halten Sie die Strg-Taste gedrückt, um mehrere Optionen gleichzeitig auszuwählen."
Order Creation Rules,Regeln zum Erstellen von Bestellungen
"In this block you can set eBay Orders settings at which Magento Orders have to be created.<br/><br/>
                <b>Note:</b> If Magento Order is created at Incomplete checkout (<i>Immediately</i> is chosen), Payment, shipping methods and shipping price may be incorrect or not specified.
                ","In diesem Abschnitt legen Sie die Einstellungen für eBay-Bestellungen fest, die für die Erstellung von Magento-Bestellung gelten sollen.<br/><br/>
                <b>Hinweis:</b> Wenn die Magento-Bestellung vor dem Abschluss der Kaufabwicklung erstellt wird (durch Auswahl von <i>Sofort</i>), kann es sein, dass die Daten für Zahlung, Versandmethode und Versandkosten inkorrekt oder nicht vorhanden sind.
                "
Create Magento Order When,Magento-Bestellung unter folgenden Bedingungen erstellen
Immediately,Sofort
Checkout Is Completed,Kaufabwicklung ist abgeschlossen
Payment Is Received,Zahlung ist eingegangen
Checkout Is Completed & Payment Received,Kaufabwicklung ist abgeschlossen und Zahlung ist eingegangen
Automatic Cancellation,Automatische Stornierung
Never,Nie
In,In
days,Tage
"Magento Orders, which were not paid in a definite time interval, will be cancelled. Unpaid Item Process will be launched for such orders on eBay.","Magento-Bestellungen, die nach einem bestimmten Zeitraum nicht bezahlt wurden, werden storniert. Für solche Bestellungen wird bei eBay die Vorgehensweise bei nicht bezahlten Artikeln initiiert."
Order Tax Settings,Besteuerungseinstellungen für Bestellungen
"This section allows you to choose tax settings for Magento Order:<br/>
<ul class=""list"">
    <li><b>eBay</b> - Magento Order(s) uses tax settings from eBay Listing(s).</li>
    <li><b>Magento</b> - Magento Order(s) uses Magento tax settings.</li>
    <li><b>eBay & Magento</b> - if there are tax settings in eBay Order, they are used in Magento Order(s), otherwise, Magento tax settings are used.</li>
    <li><b>None</b> - eBay and Magento tax settings are ignored.</li>
</ul>","In diesem Abschnitt können Sie die Besteuerungseinstellungen für die Magento-Bestellung festlegen:<br/>
<ul class=""list"">
    <li><b>eBay</b> – Magento-Bestellungen verwenden die Besteuerungseinstellungen von eBay-Bestellungen.</li>
    <li><b>Magento</b> – Magento-Bestellungen verwenden die Besteuerungseinstellungen aus Magento.</li>
    <li><b>eBay und Magento</b> – Sofern Besteuerungseinstellungen in einer eBay-Bestellung vorhanden sind, werden diese in Magento-Bestellungen verwendet. Andernfalls werden Magento-Besteuerungseinstellungen verwendet.</li>
    <li><b>Keine</b> – Die Besteuerungseinstellungen von eBay und Magentowerden ignoriert.</li>
</ul>"
Tax Source,Steuerquelle
eBay,eBay
Magento,Magento
eBay & Magento,eBay und Magento
Order Status Mapping,Zuordnung von Bestellungsstatus
"In this block you can configure mapping between eBay Order state and Magento Order statuses.
                Depending on the state of eBay Order you can manually determine certain statuses for Magento Order and enable automatic Shipment and Invoice
                creation by selecting appropriate check-boxes, or use predefined default settings. (i.e. eBay: Order is Paid -> Magento Order is Processing).<br/>
                <br/><b>Note:</b> The Order activity in Magento is automatically reflected in eBay Order:
                <ul class=""list"">
                    <li><b>Invoice is created</b> - the Payment status becomes Paid on eBay.</li>
                    <li><b>Shipment is created</b> - the Shipment status becomes Shipped on eBay. If the Tracking Number(s) is specified, it also
                    appears in eBay Order.</li>
                </ul>","In diesem Abschnitt können Sie die Zuordnung des Status von eBay-Bestellungen zu dem Status von Magento-Bestellungen konfigurieren.
                Je nach Status der eBay-Bestellungen können Sie bestimmte Statuseinstellungen bei Magento-Bestellungen manuell festlegen und den automatischen Versand und die automatische Rechnungserstellung
                aktivieren, in dem Sie die entsprechenden Kontrollkästchen aktivieren oder die vordefinierten Standardeinstellungen verwenden. (z. B. bei eBay: Bestellung ist bezahlt -> Magento-Bestellung wird bearbeitet).<br/>
                <br/><b>Hinweis:</b> Die Bestellaktivität in Magento wird automatisch in der eBay-Bestellung angezeigt:
                <ul class=""list"">
                    <li><b>Rechnung wurde erstellt</b> – Der Zahlungsstatus bei eBay wird in „bezahlt“ geändert.</li>
                    <li><b>Versand wurde erstellt</b> – Der Versandstatus bei eBay wird zu „verschickt“ geändert. Wenn die Sendungsnummer angegeben wurde, wird diese auch
                    für die eBay-Bestellung angezeigt.</li>
                </ul>"
Status Mapping,Statuszuordnung
Default Order Statuses,Standard-Bestellstatus
Custom Order Statuses,Benutzerdefinierter Bestellstatus
Checkout Status is complete,Kaufabwicklungsstatus ist „abgeschlossen“
Payment Status is complete,Zahlungsstatus ist „abgeschlossen“
Automatic Invoice Creation,Automatische Rechnungserstellung
Shipping Status is complete,Versandstatus ist „abgeschlossen“
Automatic Shipment Creation,Automatische Versanderstellung
"This tab contains information of eBay Store and its categories, which are related to the current eBay account.<br/>
    The <span style=""text-decoration: underline;"">Refresh</span> button updates Store information that has been changed on eBay.<br/><br/>
    It is possible to get eBay category ID by clicking on its title in the Categories block. The ID will appear in the text-box.<br/>","Diese Registerkarte enthält Informationen des mit dem aktuellen eBay-Mitgliedskonto verbundenen eBay Shops und seiner Kategorien.<br/>
    Wenn Sie auf <span style=""text-decoration: underline;"">Aktualisieren</span> klicken, werden die Shop-Informationen aktualisiert, die bei eBay geändert wurden.<br/><br/>
    Die Kategorie-ID können Sie erhalten, indem Sie auf die Bezeichnung der Kategorie im entsprechenden Abschnitt klicken. Die Kategorie-ID wird dann im Textfeld angezeigt.<br/>"
Information,Informationen
Store Title,Shop-Titel
URL,URL
Subscription Level,Shop-Abonnement
Categories,Kategorien
Category ID,Kategorie-ID
ID of selected category.,Die ID der ausgewählten Kategorie.
This eBay account does not have eBay Store subscription.,Es ist kein Shop-Abonnement für dieses eBay-Mitgliedskonto vorhanden.
To update the Store information you have to click the Refresh button.,"Sie müssen auf „Aktualisieren“ klicken, um die Shop-Informationen zu aktualisieren."
Feedback has been successfully sent.,Die Bewertung wurde erfolgreich gesendet.
Response Message,Antwort
Buyer's Feedback,Käuferbewertung
Choose Predefined Feedback,Wählen Sie eine vordefinierte Bewertung
Or Write Your Own,Oder verfassen Sie Ihren eigenen Bewertungstext
"This page contains all feedbacks received from buyers and all seller responses to them.
    Use eBay Accounts dropdown to filter feedbacks by accounts.<br/>
    If a response to feedback was not automatically sent, you can send it manually by pressing the <span style=""text-decoration: underline;"">Response</span> button on
    appropriate line and filling appeared form at the top of page.<br/><br/>
    <b>Note:</b> Auto Responses to feedbacks are sent according to the eBay Accounts settings.","Diese Seite enthält alle Käuferbewertungen und alle Antworten des Verkäufers.
    Verwenden Sie das Drop-down-Menü, um die Bewertungen nach eBay-Mitgliedskonten zu filtern.<br/>
    Falls eine Antwort auf eine Bewertung nicht automatisch versendet wurde, können Sie diese manuell senden, indem Sie auf <span style=""text-decoration: underline;"">Antwort</span> klicken und
    das Antwortfeld oben auf der Seite ausfüllen.<br/><br/>
    <b>Hinweis:</b> Automatische Antworten auf Bewertungen werden entsprechend den für das eBay-Mitgliedskonto festgelegten Einstellungen versendet."
Product Selection,Produktauswahl
"The number shown next to each category is the quantity of products filtered by
    Attribute Set and Products Filter settings.<br/><br/>
    There are two modes of products addition:
    <ul class=""list"">
        <li><b>All Products</b> - all products, which are included in selected categories, will be added to the Listing.</li>
        <li><b>Select Manually</b> - the list of products of chosen categories will be shown on the next page after the Next button is pressed at the top right corner.</li>
    </ul>
    <b>Note:</b> If a product belongs to different categories, it will be added to the Listing or shown for manual selection only once.<br/><br/>
    Two additional options New Product Added to Category and Product Deleted from Category allow choosing actions,
    which could be automatically done to the products added to selected categories and to the products deleted from selected categories.","Die Zahl neben den einzelnen Kategorien zeigt die Menge der Produkte an, die entsprechend den
    Einstellungen für Attributdatensatz und Produktfilter gefiltert wurden.<br/><br/>
    Produkte können auf zwei Arten hinzugefügt werden:
    <ul class=""list"">
        <li><b>Alle Produkte</b> – Alle Produkte in den ausgewählten Kategorien werden dem Angebot hinzugefügt.</li>
        <li><b>Manuell auswählen</b> – Die Liste der Produkte aus den ausgewählten Kategorien wird auf der nächsten Seite angezeigt, nachdem Sie oben rechts auf „Weiter“ geklickt haben.</li>
    </ul>
    <b>Hinweis:</b> Wenn ein Produkt unterschiedlichen Kategorien angehört, wird es trotzdem nur einmal in das Angebot oder die Liste für die manuelle Auswahl übernommen.<br/><br/>
    Mithilfe der zwei zusätzlichen Optionen „Neues zu Kategorie hinzugefügtes Produkt“ und „Aus Kategorie gelöschtes Produkt“ können Sie Aktionen wählen,
    die automatisch für Produkte ausgeführt werden können, die zu ausgewählten Kategorien hinzugefügt oder aus diesen gelöscht wurden."
Products Addition,Produkte hinzufügen
All Products,Alle Produkte
Select Manually,Manuell auswählen
Mode of products addition from selected categories.,"Die Art, auf die Produkte aus ausgewählten Kategorien hinzugefügt werden."
Actions On Categories' Products,Aktionen für Produkte aus Kategorien
New Product Added to Category,Neues zu Kategorie hinzugefügtes Produkt
No Action,Keine Maßnahme
Add to The Listing,Dem Angebot hinzufügen
Add to The Listing And List on eBay,Dem Angebot hinzufügen und bei eBay einstellen
"Actions, which should be done to products added to categories.","Aktionen, die für zu Kategorien hinzugefügte Produkte ausgeführt werden sollen."
Product Deleted from Category,Aus Kategorie gelöschtes Produkt
Stop on eBay,Bei eBay anhalten
Stop on eBay and Delete from Listing,Bei eBay anhalten und aus Angebot löschen
"Actions, which should be done to listed products deleted from categories.","Aktionen, die für eingestellte Produkte ausgeführt werden sollen, die aus Kategorien gelöscht wurden."
All Templates,Alle Vorlagen
"This section allows you to create a Listing. Listing is a group of items, which have the same
        Attribute Set and were combined to be listed on eBay.<br/><br/>
        Creating a Listing requires four types of templates (Selling Format, General, Description, Synchronization) to be created in advance,
        that allows reaching a high level of flexibility in listing and synchronization processes. <br/>
            It is also possible to create templates by clicking the <span style=""text-decoration: underline;"">Add New</span> button next to the appropriate template option. Do not forget to press
            the <span style=""text-decoration: underline;"">Refresh</span> button after the new template creation in order to see the newly added template in the dropdown list.<br/>
        <br/>In the Listing Configuration block you are required to choose appropriate Selling Format, General and Description Templates,
        which determine how the items of this Listing will be presented on eBay.<br/>
        <br/>In the Synchronization Settings block you are required to choose a Synchronization Template and its settings.
        This determines the actions, which should be done to the eBay Listings depending on any changes of their products happened in Magento,
        and of their templates that are used in the Listing Configuration settings.<br/>
        <br/>The Products Filter block allows you to filter the products, which you would like to add to the Listing.
        The filtered products will be shown on the next page after the <span style=""text-decoration: underline;"">Next</span> button is pressed at the top right corner.","In diesem Abschnitt können Sie Angebote erstellen. Das Angebot besteht aus einer Reihe von Artikeln, die über denselben
        Attributdatensatz verfügen und für das Einstellen bei eBay zusammengefasst wurden.<br/><br/>
        Um ein Angebot erstellen zu können, müssen zuvor vier Vorlagen (Angebotsformat, Allgemein, Beschreibung und Synchronisierung) erstellt werden,
        die die Angebotserstellung und -synchronisierung erheblich flexibler und einfacher machen. <br/>
          Vorlagen können auch erstellt werden, indem Sie neben der passenden Vorlagenoption auf <span style=""text-decoration: underline;"">Neue hinzufügen</span> klicken. Vergessen Sie nicht, nach der Erstellung der Vorlage auf
        <span style=""text-decoration: underline;"">Aktualisieren</span> zu klicken, um die neu hinzugefügte Vorlage in der Drop-down-Liste angezeigt zu bekommen.<br/>
        <br/>Im Abschnitt für die Angebotskonfiguration müssen Sie die richtige Angebotsformatvorlage sowie die richtige allgemeine und Beschreibungsvorlage auswählen,
        mit denen festgelegt wird, wie die Artikel dieses Angebots bei eBay dargestellt werden.<br/>
        <br/>Im Abschnitt für die Synchronisierungseinstellungen müssen Sie eine Synchronisierungsvorlage und die dazugehörigen Einstellungen wählen.
        Hier legen Sie fest, was mit den Angeboten bei eBay geschehen soll, wenn Änderungen an den zugeordneten Produkten in Magento
        oder den in der Angebotskonfiguration verwendeten Vorlagen vorgenommen werden.<br/>
        <br/>Im Produktfilter-Abschnitt können Sie die Produkte filtern, die Sie dem Angebot hinzufügen möchten.
        Klicken Sie oben rechts auf <span style=""text-decoration: underline;"">Weiter</span>, um die gefilterten Produkte auf der nächsten Seite anzuzeigen."
Admin (Default Values),Admin (Standardwerte)
The specified title is already used for other listing. Listing title must be unique.,Die eingegebene Bezeichnung wird bereits für ein anderes Angebot verwendet. Die Artikelbezeichnung muss einzigartig sein.
You should select Attribute Set first,Sie müssen zuerst einen Attributdatensatz auswählen
Invalid date time format string.,Ungültiges Datums- und Zeitformat.
Type Template Name Here...,Geben Sie hier die Vorlagenbezeichnung ein...
Listing Configuration,Angebotskonfiguration
Short meaningful Listing title for your internal use.,Kurze und aussagekräftige Artikelbezeichnung zu Ihrer internen Verwendung.
Product Attribute Set,Produktattributsatz
"Attribute Set of products, which will be listed on eBay in this Listing.","Attributsatz von Produkten, die in diesem Angebot bei eBay eingestellt werden."
"List of templates, which have previously chosen Attribute Set.","Liste an Vorlagen, die über den zuvor ausgewählten Attributdatensatz verfügen."
Search for template which have previously chosen Attribute Set.,"Suchen Sie nach einer Vorlage, die über den zuvor gewählten Attributdatensatz verfügt."
All Synchronization Templates you have created.,Alle von Ihnen erstellten Synchronisierungsvorlagen.
Search for Synchronization Template you have created.,"Suchen Sie nach Synchronisierungsvorlagen, die Sie erstellt haben."
Activation,Aktivierung
Delay After Listing Creation,Nach Angebotserstellung verzögern
Since Date,Von (Datum)
"Time, when settings of chosen Synchronization Template take effect.","Gibt an, wann die Einstellungen für die gewählte Synchronisierungsvorlage aktiv werden sollen."
Delay,Verzögerung
Day(s),Tag(e)
Hour(s),Stunde(n)
Minute(s),Minute(n)
"In how many days, hours or minutes Synchronization Template settings should be activated.","Gibt an, nach wie vielen Tagen, Stunden oder Minuten die Einstellungen für die Synchronisierungsvorlage angewendet werden sollen."
Date and time when Synchronization Template should be activated.,Datum und Uhrzeit für die Aktivierung der Synchronisierungsvorlage.
Deactivation,Deaktivierung
Through Period After Activation,Zeitraum nach Aktivierung
On Date,Am (Datum)
"Time, when settings of chosen Synchronization Template should be deactivated.","Gibt an, wann die Einstellungen für die gewählte Synchronisierungsvorlage deaktiviert werden sollen."
Period Value,Wert für Zeitraum
"In how many days, hours or minutes after activation Synchronization Template settings should be deactivated.","Gibt an, nach wie vielen Tagen, Stunden oder Minuten nach der Aktivierung die Einstellungen für die Synchronisierungsvorlage deaktiviert werden sollen."
Date and time when Synchronization Template should be deactivated.,Datum und Uhrzeit für die Deaktivierung der Synchronisierungsvorlage.
Products Filter,Produktfilter
Store View the items' information should be taken from.,"Die Shop-Ansicht, aus der die Artikelinformationen entnommen werden sollen."
Select from,Wählen Sie eine der folgenden Optionen
Products List,Produktliste
Modes of the products selection.,Modi für die Produktauswahl.
Products Presented in Other Listings,In anderen Angeboten aufgeführte Produkte
Show,Anzeigen
Do Not Show,Nicht anzeigen
Selected Categories,Ausgewählte Kategorien
Listings Log,Angebotsprotokoll
"This Log contains all information about actions, which were done with all M2E Pro Listings and their items.","Dieses Protokoll enthält alle Informationen zu Aktionen, die für M2E Pro-Angebote und ihre Artikel ausgeführt wurden."
