About,Acerca de
Delay,Posponer
Day(s),Día(s)
Hour(s),Hora(s)
Minute(s),Minuto(s)
"In how many days, hours or minutes Synchronization Template settings should be activated.","Días, horas o minutos transcurridos los cuales debe activarse la configuración de la plantilla de sincronización."
Date and time when Synchronization Template should be activated.,Fecha y hora en las que debe activarse la plantilla de sincronización.
Deactivation,Desactivación
Through Period After Activation,Durante el periodo tras la activación
On Date,En la fecha
"Time, when settings of chosen Synchronization Template should be deactivated.",Momento en el que debe desactivarse la configuración de la plantilla de sincronización elegida.
Period Value,Valor del periodo
"In how many days, hours or minutes after activation Synchronization Template settings should be deactivated.","Días, horas o minutos tras la activación transcurridos los cuales debe desactivarse la configuración de la plantilla de sincronización."
Date and time when Synchronization Template should be deactivated.,Fecha y hora en las que debe desactivarse la plantilla de sincronización.
Products Filter,Filtro de productos
Store View the items' information should be taken from.,Vista de la tienda de la que debe tomarse la información del artículo.
Select from,Seleccionar de
Products List,Lista de productos
Modes of the products selection.,Modos de selección de los productos.
Products Presented in Other Listings,Productos presentados en otros anuncios
Show,Mostrar
Do Not Show,No mostrar
Selected Categories,Categorías seleccionadas
Listings Log,Registro de anuncios
"This Log contains all information about actions, which were done with all M2E Pro Listings and their items.",Este registro contiene toda la información sobre las acciones que se han realizado con todos los anuncios de M2E Pro y sus artículos.
"
This section contains eBay Listings, which belong to registered eBay Accounts (%s > Configuration > eBay Accounts) and were listed not by M2E Pro extension.<br/>
Use eBay Accounts and Marketplaces dropdowns to filter them.
Also, you can manage these Listings on eBay by choosing appropriate options in the Actions dropdown in the top right corner of the grid.<br/><br/>
<b>Note:</b> To import eBay 3rd Party Listings the 3rd Party Listings Import must be enabled in account's settings
(%s > Configuration > eBay Accounts > General tab) and the 3rd Party Listings Synchronization must be enabled in %s > Configuration > Synchronization.
<br/><br/>
<b>Important:</b> Initially (the first synchronization of 3rd Party Listings) M2E imports items which have been listed not later than a year ago.
","
Esta sección contiene anuncios de eBay que pertenecen a cuentas de eBay registradas (%s > Configuración > Cuentas de eBay) y que se pusieron en venta por otros medios distintos a la extensión M2E Pro.<br/>
Utiliza las listas desplegables Cuentas de eBay y Mercados para filtrarlos.
Asimismo, para gestionar estos anuncios en eBay, también puedes elegir las opciones adecuadas en la lista desplegable Acciones, que aparece en la esquina superior derecha de la tabla.<br/><br/>
<b>Nota</b>: para importar los anuncios externos de eBay, debe estar activada la opción Importación de anuncios externos en la configuración de la cuenta
(%s > Configuración > Cuentas de eBay > pestaña General), así como la tarea Sincronización de anuncios externos en %s > Configuración > Sincronización.
<br/><br/>
<b>Importante</b>: en principio (en la primera sincronización de anuncios externos), M2E importa los artículos que se hayan puesto en venta hace menos de un año.
"
3rd Party Listings Log,Registro de anuncios externos
"This Log contains all information about actions, which were done with 3rd Party Listings.",Este registro contiene toda la información sobre las acciones que se han realizado con los anuncios externos.
"This section includes the conditions at which the Relist Action will be launched.
    <br/><br/>
    <b>Note:</b> The Relist action is launched only if any change of the Relist Conditions parameters occurs.","En esta sección se incluyen las condiciones por las que se iniciará la acción Volver a poner en venta.
    <br/><br/>
    <b>Nota</b>: la acción Volver a poner en venta solo se inicia si se produce algún cambio en los parámetros de las condiciones para volver a poner en venta."
Relist Action,Acción de Volver a poner en venta
Enables/Disables the Relist action for the 3rd Party Listings.,Activa o desactiva la acción Volver a poner en venta para los anuncios externos.
Relist When Stopped Manually,Volver a poner en venta cuando se detenga manualmente
Automatically relists item(s) after it has been stopped manually within M2E Pro.,Vuelve a poner en venta los artículos de forma automática después de que se hayan detenido manualmente en M2E Pro.
Synchronize Data,Sincronizar datos
"Updates Title, Subtitle, Description, Price and QTY on eBay 3rd Party Listings.<br/>If <i>No</i> is selected, eBay 3rd Party Listing(s) with existing data on eBay is relisted.","Actualiza el título, el subtítulo, la descripción, el precio y la cantidad en los anuncios externos de eBay.<br/>Si se selecciona <i>No</i>, se vuelven a poner en venta los anuncios externos de eBay con datos existentes en eBay."
Relist Conditions,Condiciones para volver a poner en venta
Product Status,Estado del producto
Any,Cualquiera
Product Status at which the item(s) have to be relisted.,Estado del producto en que los artículos deben volver a ponerse en venta.
Stock Availability at which the item(s) have to be relisted.,Disponibilidad de existencias en que los artículos deben volver a ponerse en venta.
Item QTY,Cantidad del artículo
Less,Menos
More or Equal,Igual o superior
Between,Entre
Product(s) quantity at which the item(s) have to be relisted.,"Cantidad de producto a la que, una vez alcanzada, los artículos deben volver a ponerse en venta."
Item Quantity,Cantidad del artículo
Min Item Quantity,Cantidad mínima de artículos
Max Item Quantity,Cantidad máxima de artículos
"This section contains list of product details, which changes you want to be automatically reflected on eBay.",Esta sección contiene una lista de los detalles de producto cuyos cambios quieres que se reflejen automáticamente en eBay.
Partial Revise,Revisión parcial
Automatically updates quantity on eBay listing(s) when the source of quantity is changed.,Actualiza automáticamente la cantidad en los anuncios de eBay cuando se cambia la fuente de la cantidad.
Item Price,Precio del artículo
Automatically updates price on eBay listing(s) when the source of title is changed.,Actualiza automáticamente el precio en los anuncios de eBay cuando se cambia la fuente del título.
Automatically updates title on eBay listing(s) when the source of title is changed.,Actualiza automáticamente el título en los anuncios de eBay cuando se cambia la fuente del título.
Item Subtitle,Subtítulo del artículo
Automatically updates subtitle on eBay listing(s) when the source of subtitle is changed.,Actualiza automáticamente el subtítulo en los anuncios de eBay cuando se cambia la fuente del subtítulo.
Item Description,Descripción del artículo
Automatically updates description on eBay listing(s) when the source of description is changed.,Actualiza automáticamente la descripción en los anuncios de eBay cuando se cambia la fuente de la descripción.
"This section includes settings where the values for synchronization have to be taken from.
    <br/><br/>
    <b>Note:</b> If you set <i>Not Set</i>, the auto revise will be turned off by this criteria.
    ","Esta sección incluye la configuración de la que deben tomarse los valores para la sincronización.
    <br/><br/>
    <b>Nota</b>: si lo defines como <i>No establecido</i>, se desactivará la modificación automática según estos criterios.
    "
The price will be calculated according to Catalog Price Rules (Magento > Promotions > Catalog Price Rules).,El precio se calculará en función de las reglas de precios del catálogo (Magento > Promociones > Reglas de precios del catálogo).
Updates price on eBay listing(s) when the source of price changes.,Actualiza el precio en los anuncios de eBay cuando cambia la fuente del precio.
Synchronization Source,Fuente de sincronización
Quantity,Cantidad
Not Set (not changeable on eBay),No establecido (no se puede cambiar en eBay)
Product QTY,Cantidad del producto
Updates quantity on eBay Listing with mapped Magento product quantity.,Actualiza la cantidad en el anuncio de eBay con la cantidad de producto de Magento asignada.
Product Price,Precio de producto
Special Price,Precio especial
Final Price,Precio final
Which customer group eBay buyers have to be associated to.,Se especifica el grupo de clientes al que deben asociarse los compradores de eBay.
Updates title on eBay Listing with mapped Magento product title.,Actualiza el título en el anuncio de eBay con el título de producto de Magento asignado.
Subtitle,Subtítulo
Updates eBay Listing subtitle.,Actualiza el subtítulo en el anuncio de eBay.
Product Description,Descripción del producto
Product Short Description,Descripción breve del producto
Updates description on eBay Listing with mapped Magento product description.,Actualiza la descripción en el anuncio de eBay con la descripción del producto de Magento asignado.
"Stop Rules define the conditions when eBay items listing should be stopped, depending on Magento product state.
    <br/><br/>
    <b>Note:</b> If all Stop Conditions are set to <i>No</i> or <i>No Action</i>, then the stop option for eBay items is disabled.
    If all Stop Conditions are enablled, then an item will be stopped if at least one of the Stop Conditions is met.","Las reglas de detención definen las condiciones por las que el anuncio de artículos de eBay se debe detener, según el estado del producto en Magento.
    <br/><br/>
    <b>Nota</b>: si todas las condiciones de detención están configuradas en <i>No</i> o <i>Sin acción</i>, se desactiva la opción de detención para los artículos de eBay.
    Si todas las condiciones de detención están activadas, un artículo se detendrá si se cumple al menos una de las condiciones de detención."
Stop Conditions,Condiciones de detención
Stop When Status Disabled,Detener cuando el estado sea Desactivado
Automatically stops item(s) if its status has been changed to 'Disabled' in Magento.,"Detiene automáticamente los artículos si su estado ha cambiado a ""Desactivado"" en Magento."
Stop When Out Of Stock,Detener cuando no haya existencias
Automatically stops item(s) if its stock availability has been changed to 'Out of Stock' in Magento.,"Detiene automáticamente los artículos si la disponibilidad de existencias ha cambiado a ""Sin existencias"" en Magento."
Stop When Item QTY Is,Detener cuando la cantidad del artículo sea
Less or Equal,Igual o menos
More,Más
Automatically stops item(s) if its Magento quantity has been changed and meets the conditions.,Detiene automáticamente los artículos si la cantidad en Magento ha cambiado y cumple las condiciones.
Apply Actions On Categories Products to the selected categories.,Aplicar acciones incluidas en categorías/productos a las categorías seleccionadas.
"The number shown next to each category is the quantity of products filtered by
    Attribute Set and Products Filter settings of the Listing.<br/><br/>
    There are two modes of products addition:
    <ul class=""list"">
        <li><b>All Products</b> - all products, which are included in selected categories, will be added to the Listing.</li>
        <li><b>Select Manually</b> - the list of products of chosen categories will be shown on the next page after the Next button is pressed at the top right corner.</li>
    </ul>
    <b>Note:</b> If a product belongs to different categories, it will be added to the Listing or shown for manual selection only once.","El número que aparece junto a cada categoría es la cantidad de productos filtrados por
    los valores de Conjunto de atributos y Filtro de productos del anuncio.<br/><br/>
    Hay dos formas de añadir productos:
    <ul class=""list"">
        <li><b>Todos los productos</b>: se añadirán al anuncio todos los productos incluidos en las categorías seleccionadas.</li>
        <li><b>Seleccionar manualmente</b>: la lista de productos de las categorías elegidas aparecerá en la página siguiente, tras pulsar el botón Siguiente en la esquina superior derecha.</li>
    </ul>
    <b>Nota:</b> si un producto pertenece a distintas categorías, este se añadirá al anuncio o se mostrará para su selección manual solamente una vez."
"Displayed products have the same Attribute Set as the Listing you are going to add them to.<br/><br/>
    <b>Note:</b> A product can be added to the listing only once. If a product was added to the Listing earlier, it will not be displayed. ","Los productos mostrados tienen el mismo conjunto de atributos que el anuncio al que se van a añadir.<br/><br/>
    <b>Nota:</b> un producto solamente puede añadirse al anuncio una vez. Si un producto se añadió al anuncio anteriormente, no se mostrará. "
Listing Items,Artículos de los anuncios
"This section contains information about product items of chosen listing and their statuses on eBay.<br/>
    You can manage items by choosing appropriate actions from the Actions dropdown of the grid and manage Listing and
    its settings by using buttons in the top right corner.","Esta sección contiene información sobre los artículos de producto del anuncio elegido y sus estados en eBay.<br/>
    Para gestionar los artículos, elige las acciones adecuadas en el menú desplegable Acciones de la tabla y gestiona tanto el anuncio como
    su configuración con los botones que aparecen en la esquina superior derecha."
Used in General Template(s),Se utiliza en plantillas generales
Waiting,En espera
Processing,En proceso
Completed,Finalizado
"<strong>We plan to add this functionality in the future versions.</strong><br/>
    If you have any suggestions, please let us know  <a href=""http://support.m2epro.com/"">http://support.m2epro.com/</a>","<strong>Tenemos previsto añadir esta función en versiones futuras.</strong><br/>
    Si tienes alguna sugerencia, envíanosla a través de <a href=""http://support.m2epro.com/"">http://support.m2epro.com/</a>"
Message has been successfully sent.,El mensaje se ha enviado correctamente.
Full Message Text,Texto de mensaje completo
My Full Response,Mi respuesta completa
Subject,Asunto
Messages,Mensajes
"Please go to the <a href=""%s"" target=""_blank"">general template</a> and choose Compatibility Attribute.","Ve a la <a href=""%s"" target=""_blank"">plantilla general</a> y elige Atributo de compatibilidad."
Add Compatipable Vehicles,Añadir vehículos compatibles
"The grid below contains a list of cars, trucks and motorcycles which can be found on eBay Motors.<br/><br/>
Select items, compatible with your part and choose one of three actions in the Actions dropdown:
<ul class=list>
<li><b>Overwrite ePIDs in Compatibility Attribute</b> - replaces items ePIDs in the Compatibility Attribute chosen in the General Template with selected ones.</li>
<li><b>Add ePIDs to Compatibility Attribute</b> - adds selected items ePIDs to existing ones in Compatibility Attribute chosen in the General Template.</li>
<li><b>Show ePIDs</b> - displays selected items ePIDs in the text field.</li>
</ul>
<b>Note:</b> Compatibility Items of listed products can not be replaced or removed from eBay when you revise or relist product, only new ones can be added in these cases.
","La tabla siguiente contiene una lista de coches, camiones y motos que se pueden encontrar en eBay Motor.<br/><br/>
Selecciona los artículos compatibles con tu pieza y elige una de las tres acciones posibles en la lista desplegable Acciones:
<ul class=list>
<li><b>Sobrescribir identificadores de producto de eBay en el atributo de compatibilidad</b>: reemplaza los identificadores de producto de eBay de los artículos en el atributo de compatibilidad elegido en la plantilla general por los seleccionados.</li>
<li><b>Añadir identificadores de producto de eBay al atributo de compatibilidad</b>: añade los identificadores de producto de eBay de los artículos seleccionados a los ya existentes en el atributo de compatibilidad elegido en la plantilla general.</li>
<li><b>Mostrar identificadores de producto de eBay</b>: muestra los identificadores de producto de eBay de los artículos seleccionados en el campo de texto.</li>
</ul>
<b>Nota</b>: los artículos de compatibilidad con los productos puestos en venta no se pueden reemplazar ni eliminar en eBay al modificar o volver a poner en venta un producto; en estos casos, solamente se pueden añadir nuevos artículos.
"
Selected ePIDs,Identificadores de producto de eBay seleccionados
Add Vehicles,Añadir vehículos
Order Address Information,Datos de dirección del pedido
Buyer Name,Nombre del comprador
Buyer E-Mail,Correo electrónico del comprador
Street Address,Dirección
City,Ciudad
Country,País
Region/State,Región/Estado
Zip/Postal Code,Código postal
Telephone,Teléfono
"
This page contains all orders imported from eBay.
Use eBay Accounts dropdown to filter eBay orders by accounts.<br/>
If Magento Order, Invoice or / and Shipment was not created automatically,
you can create them manually by using appropriate options in the Action dropdown.<br/><br/>
<b>Note:</b> Automatic creation of Magento Orders, Invoices, and Shipments happens according to the eBay Accounts settings in %s > Configuration > Accounts > Orders.","
Esta página contiene todos los pedidos importados de eBay.
Usa la lista desplegable Cuentas de eBay para filtrar los pedidos de eBay por cuenta.<br/>
Si el pedido, la factura y/o el envío de Magento no se crearon automáticamente,
puedes crearlos de forma manual mediante las opciones adecuadas del menú desplegable Acción.<br/><br/>
<b>Nota</b>: la creación automática de pedidos, facturas y envíos de Magento se realiza según la configuración de Cuentas de eBay en %s > Configuración > Cuentas > Pedidos."
eBay Order,Pedido de eBay
Selling Manager,Gestor de ventas
Sale Time,Hora de venta
Update Time,Actualizar hora
Order Status,Estado del pedido
Incomplete,Incompleto
Unknown Error,Error desconocido
Not Shipped,No enviado
Account,Cuenta
Production,Producción
Sandbox,Sandbox
Buyer Information,Información del comprador
Customer Name,Nombre del cliente
Private Restriction,Restricción privada
Shipping Address,Dirección de envío
Payment Information,Información sobre el pago
Order Currency,Divisa del pedido
Attention!,¡Atención!
"Order currency is not enabled in Magento.<br />Please, enable it in System -> Configuration -> Currency Setup.",La divisa del pedido no está activada en Magento.<br />Actívala en Sistema > Configuración > Configuración de divisa.
"There's no rate for Order currency in Magento.<br />Please, add currency convert rate in System -> Manage Currency -> Rates.",No hay ningún tipo de cambio para la divisa del pedido en Magento.<br />Añade el tipo de cambio de divisa en Sistema > Gestionar divisa > Tipos de cambio.
Payment Date,Fecha de pago
Payment Method,Forma de pago
eBay Account,Cuenta de eBay
eBay Final Fee,Comisión por venta realizada de eBay
External Transactions,Transacciones externas
Shipping & Handling Information,Información de envío y manipulación
Shipping Selected Service,Servicio de envío seleccionado
Shipping Cost,Gastos de envío
Shipping Time,Tiempo de envío
Tracking Details,Información de seguimiento
Carrier,Empresa de transportes
Number,Número
Transaction Item(s),Artículos de la transacción
Log History,Historial de registro
Order Totals,Totales del pedido
Subtotal,Subtotal
Shipping & Handling,Gastos de envío y manipulación
Tax,Impuesto
Grand Total,Total
Amount Paid,Importe pagado
Amount Saved,Importe ahorrado
"This section allows you to set preferences of data synchronization.<br/>
    You have to enable / disable synchronization tasks, which will be automatically performed for all eBay accounts, and <span style=""text-decoration: underline;"">Save Settings</span>.<br/>
    To run necessary task manually, click the <span style=""text-decoration: underline;"">Run Now</span> button, to run all tasks at once, click <span style=""text-decoration: underline;"">Run Enabled Now</span>.<br/>
    <br/><b>Note:</b> Cron job must be set up for automatic synchronization. Otherwise, you will have to perform the synchronization manually.","Esta sección te permite establecer preferencias para la sincronización de los datos.<br/>
    Debes activar/desactivar las tareas de sincronización, que se realizarán de forma automática para todas las cuentas de eBay, y pulsar a continuación <span style=""text-decoration: underline;"">Guardar configuración</span>.<br/>
    Para ejecutar la tarea necesaria manualmente, pulsa el botón <span style=""text-decoration: underline;"">Ejecutar ahora</span>; para ejecutar todas las tareas a la vez, pulsa <span style=""text-decoration: underline;"">Ejecutar activado ahora</span>.<br/>
    <br/><b>Nota:</b> para realizar una sincronización automática, debe configurarse el trabajo de cron. De lo contrario, tendrás que realizar la sincronización de forma manual."
Templates Synchronization,Sincronización de plantillas
Updates and synchronizes eBay Listings according to<br/>Synchronization Templates' rules.,Actualiza y sincroniza los anuncios de eBay de acuerdo con las reglas<br/>de las plantillas de sincronización.
Orders Synchronization,Sincronización de pedidos
"Imports and synchronizes eBay Orders for accounts,<br/>which have enabled Import eBay Orders in their<br/>Accounts settings.",Importa y sincroniza los pedidos de eBay de las cuentas<br/>que tienen activada la opción Importar pedidos de eBay en la <br/>configuración de la cuenta.
Imports buyers' feedbacks and automatically sends<br/>Auto Responses according to eBay Accounts settings.,Importa los votos de los compradores y envía <br/>respuestas automáticas según la configuración de la cuenta de eBay.
3rd Party Listings Synchronization,Sincronización de anuncios externos
"Imports and synchronizes 3rd Party Listings for eBay<br/>accounts, which have enabled Import 3rd Party Listings<br/>in their Accounts settings.",Importa y sincroniza los anuncios externos para las cuentas<br/>de eBay que tienen activada la opción Importar anuncios externos<br/>en la configuración de la cuenta.
My Messages Synchronization,Sincronización de Mensajes
Imports buyers' messages according to<br />eBay Accounts settings.,Importa los mensajes de los compradores según la<br />configuración de la cuenta de eBay.
"Description Template is used to design your items' description on eBay. <br/>
    <br/>It is possible to choose a Product Description or Product Short Description, which will be taken from Magento.
    Or you can create a Custom Description by adding necessary information,
    appropriate attributes from dropdown lists and image tags.
    <br/><br/>It is possible to create custom description in 2 modes:
    <ul class=""list"">
        <li><b>WYSIWYG</b> - allows creating simple good looking product description. No HTML knowledge is required.</li>
        <li><b>HTML</b> - allows using HTML tags and CSS styles for the description. You can create much more complex, improved and advanced item's description using this mode.</li>
    </ul>
    <b>Note:</b> Listing Titles are limited to 80 characters and Subtitles are limited to 55 characters on eBay.<br/>","La plantilla Descripción se usa para diseñar la descripción de tus artículos en eBay. <br/>
    <br/> Se puede elegir una descripción o descripción breve del producto, que se tomará de Magento.
    O puedes crear una descripción personalizada añadiendo la información necesaria
    y los atributos adecuados en las listas desplegables y las etiquetas de imagen.
    <br/><br/>Es posible crear una descripción personalizada de dos modos:
    <ul class=""list"">
        <li><b>WYSIWYG</b>: permite crear una descripción de producto simple con un buen aspecto. No se requieren conocimientos de HTML.</li>
        <li><b>HTML</b>: permite el uso de etiquetas HTML y estilos CSS para la descripción. Con este modo, puedes crear una descripción del artículo más compleja, mejorada y avanzada.</li>
    </ul>
    <b>Nota</b>: en eBay, los títulos de anuncio están limitados a 80 caracteres y los subtítulos están limitados a 55 caracteres.<br/>"
The specified title is already used for other template. Template title must be unique.,El título especificado ya se usa para otra plantilla. El título de la plantilla debe ser único.
You should select Attribute Sets first and press Confirm button.,Antes debes seleccionar los conjuntos de atributos y pulsar el botón Confirmar.
Adding Image,Añadiendo imagen
Short meaningful template title for your internal use.,Título breve y descriptivo de la plantilla para uso interno.
Product Attribute Sets,Conjuntos de atributos de producto
Attribute Sets of products which will be listed on eBay<br />using this template.,Conjuntos de atributos de los productos que se pondrán en venta en eBay<br />con esta plantilla.
Item Details,Detalles del artículo
Custom Title,Título personalizado
Item's title that buyers will see on eBay listing.,Título del artículo que los compradores verán en el anuncio de eBay.
Add Subtitle,Añadir subtítulo
Adding subtitle to eBay item.,Añadiendo subtítulo al artículo de eBay.
Cut Long Titles,Cortar títulos largos
Automatically shortens items' titles to 80 characters and subtitles to 55 characters.,Reduce automáticamente los títulos de los artículos a 80 caracteres y los subtítulos a 55 caracteres.
Hit Counter,Contador de visitas
No Hit Counter,Sin contador de visitas
Basic Style,Estilo básico
Green LED,Piloto verde
Hidden Style,Estilo oculto
Honesty Style,Estilo honestidad
Retro Style,Estilo retro
"Adding the tool that counts the visitors' number of eBay listing.<br/>Note: Green LED, Honesty Style and Retro Style styles are available only on US-store.","Añadiendo la herramienta que cuenta el número de visitantes del anuncio de eBay.<br/>Nota: los estilos Piloto verde, Estilo honestidad y Estilo retro solo están disponibles en las tiendas de EE. UU."
Images,Imágenes
Main Item Image,Imagen del artículo principal
Product Base Image,Imagen básica del producto
Image you will see on your eBay listing.,Imagen que aparecerá en el anuncio de eBay.
Product Image Attribute,Atributo de la imagen del producto
"Choose Media Image Attribute or Attribute, that contains absolute url.
                                <br/>e.g. http://mymagentostore.com/images/baseimage.jpg","Elige Atributo de imagen multimedia o Atributo, que contiene una URL absoluta.
                                <br/>por ejemplo: http://mymagentostore.com/images/baseimage.jpg"
Picture Pack,Paquete de imágenes
"Displays larger, more detailed pictures (up to 800w x 800h pixels - 800 pixels on the longest side). <br/>Note: This feature may come with additional fee.",Muestra imágenes más grandes con mayor detalle (hasta 800 x 800 píxeles: 800 píxeles por el lado más largo). <br/>Nota: esta función puede conllevar el pago de una tarifa adicional.
Item Gallery Images,Imágenes de la galería del artículo
Product Images,Imágenes del producto
Adds small thumbnails that appear under the large Base Image.,Añade pequeñas imágenes en miniatura que aparecen bajo la imagen básica a tamaño grande.
Gallery Images Attribute,Atributo de imágenes de la Galería
"Choose Text, Multiple Select or Dropdown type attribute. In Text type attribute urls must be separated with comma.
                                <br/>e.g.  http://mymagentostore.com/images/baseimage1.jpg,  http://mymagentostore.com/images/baseimage2.jpg","Elige un atributo de texto, selección múltiple o lista desplegable. En los atributos de tipo Texto, las direcciones URL deben separarse por comas.
                                <br/>por ejemplo:  http://mymagentostore.com/images/baseimage1.jpg,  http://mymagentostore.com/images/baseimage2.jpg"
Gallery Images Quantity,Cantidad de imágenes de la Galería
Up to,Hasta
The number of images in item's gallery.,Número de imágenes en la galería del artículo.
Variation of Configurable Products Images for Attribute,Variante de imágenes de productos configurables para el atributo
"Only for Configurable products. Determines option at which images should change on eBay.<br/>Note: If several Attribute Sets have been chosen, only common attributes are shown.","Solo para productos configurables. Determina la opción por la que las imágenes deben cambiar en eBay.<br/>Nota: si se han elegido varios conjuntos de atributos, solo se muestran los atributos comunes."
Watermark,Marca de agua
"This section allows adding custom watermark to your main and item gallery images.
                    <br/><br/>
                    <b>Note:</b> If products images are not taken from the same server where Magento Store is, the watermark will not be applied.","En esta sección puedes añadir una marca de agua personalizada a tus imágenes principales y de la galería del artículo. 
                    <br/><br/>
                    <b>Nota</b>: si las imágenes de los productos no se toman del mismo servidor donde está la tienda Magento, no se aplicará la marca de agua."
Use Watermark,Usar marca de agua
Automatically adds your custom watermark to gallery images.,Añade automáticamente tu marca de agua personalizada a tus imágenes de la galería.
Watermark Upload,Envío de marca de agua
Select image that you want to add as a watermark.,Selecciona la imagen que quieres añadir como marca de agua.
Watermark Uploaded Image,Imagen enviada como marca de agua
Watermark Transparency,Transparencia de marca de agua
Disable,Desactivar
Enable,Activar
Sets transparency of watermark image to 30 %.,Establece la transparencia de la imagen de marca de agua en el 30 %.
Scale Watermark Image,Escala de la imagen de marca de agua
In Width,En ancho
Full Image,Imagen completa
Scales watermark image in width or full image.,Cambia la escala de la imagen de marca de agua en ancho o en imagen completa.
Watermark Position,Posición de la marca de agua
Top,Arriba
Middle,Centro
Bottom,Abajo
Watermark position on the image.,Posición de la marca de agua en la imagen.
Description Source,Origen de la descripción
Custom Description,Descripción personalizada
Item's description source for eBay Listing.,Fuente de la descripción del artículo en el anuncio de eBay.
Click the button to switch between HTML and WYSIWYG modes.,Pulsa el botón para cambiar entre los modos HTML y WYSIWYG.
Custom Description Inserts,Inserciones de descripciones personalizadas
Product Attribute,Atributo del producto
Attributes related to the previously chosen Attribute Set.,Atributos relacionados con el conjunto de atributos elegido previamente.
Product Image(s),Imágenes del producto
Add Image(s),Añadir imágenes
Displaying Images,Mostrando imágenes
Custom Settings,Configuración personalizada
Gallery View,Vista de Galería
Image(s) Width,Ancho de las imágenes
Main Image Width,Ancho de la imagen principal
Original,Original
Custom,Personalizado
Image(s) Height,Alto de las imágenes
Main Image Height,Alto de la imagen principal
Image(s) Margin,Margen de las imágenes
Images Layout,Diseño de las imágenes
Horizontal,Horizontal
Vertical,Vertical
Gallery Hint,Sugerencia de la galería
Click on the image below to get zoomed view of the item,Pulsa la imagen siguiente para obtener una vista ampliada del artículo
Open original size image<br/> in a new  window,Abrir la imagen a tamaño original<br/> en una ventana nueva
Choose configuration how the image(s) should be displayed and press the <i>Insert</i> button. Image's tag will be added to the end of the text.,Elige la configuración del modo en que se deben mostrar las imágenes y pulsa el botón <i>Insertar</i>. La etiqueta de la imagen se añadirá al final del texto.
Select Product,Seleccionar producto
Enter Product Id,Introducir identificador de producto
or,o bien
"General Template contains basic settings which are required for listing items on eBay.<br/><br/>
    <b>Note:</b> Before General Template creating Marketplaces should be uploaded (Configuration > Marketplaces).
    Otherwise, categories and marketplaces will not be displayed.","La plantilla General contiene la configuración básica que se requiere para poner en venta artículos en eBay.<br/><br/>
    <b>Nota</b>: antes de la creación de la plantilla General se deben enviar los mercados (Configuración > Mercados).
    De lo contrario, no se mostrarán las categorías ni los mercados."
You should select a Marketplace first.,Primero debes seleccionar un mercado.
"Please, choose a Primary eBay Category to have an access to this section.",Elige una categoría de eBay principal para tener acceso a esta sección.
Please enter the Category ID.,Introduce el identificador de categoría.
Marketplace,Mercado
Only the marketplaces chosen in Configuration > Marketplaces are shown for selection.,Solo los mercados seleccionados en Configuración > Mercados se muestran para su selección.
eBay accounts you have already added in Configuration > eBay Accounts.,Cuentas de eBay que ya has añadido en Configuración > Cuentas de eBay.
eBay Categories,Categorías de eBay
Category Source,Fuente de categorías
Where the categories data should be taken from.,Lugar de donde se deben obtener los datos de las categorías.
Primary Category Attribute,Atributo de categoría principal
Choose the attribute contains Primary eBay Category ID.,Elige el atributo que contiene el identificador de categoría principal de eBay.
Primary Category,Categoría principal
or Category ID,o identificador de categoría
Secondary Category Attribute,Atributo de categoría secundaria
Choose the attribute contains Secondary eBay Category ID.,Elige el atributo que contiene el identificador de categoría secundaria de eBay.
Secondary Category,Categoría secundaria
Tax Category,Categoría de impuesto
This is to be used only by sellers who have opted into sales tax<br /> being calculated by a sales tax calculation vendor.,Esta opción solo la utilizan los vendedores que han activado<br /> que el impuesto de ventas lo calcule un proveedor de cálculo de impuesto de ventas.
Tax Category Attribute,Atributo de categoría de impuesto
eBay Store Categories,Categorías de la tienda eBay
eBay Store Name,Nombre de la tienda eBay
Primary Category Source,Fuente de categoría principal
---,---
Where the Primary eBay Store category data should be taken from.,De donde se deben obtener los datos de la categoría principal de la tienda eBay.
Choose the attribute contains Primary eBay Store Category ID.,Elige el atributo que contiene el identificador de categoría principal de tienda eBay.
Secondary Category Source,Fuente de categoría secundaria
Where the Secondary eBay Store category data should be taken from.,De donde se deben obtener los datos de la categoría secundaria de la tienda eBay.
Choose the attribute contains Secondary eBay Store Category ID.,Elige el atributo que contiene el identificador de categoría secundaria de tienda eBay.
Multi Variation,Variantes
Multi Variation Disabled,Variantes desactivadas
"Selected eBay marketplace does not allow creating multi variation eBay listings.
                <br/>Configurable, Bundle, Grouped and Simple Products with Custom Options will be listed as regular eBay items. All variations will be ignored.","El mercado de eBay seleccionado no permite la creación de anuncios de eBay con variantes.
                <br/>Los productos configurables, de conjunto, agrupados y simples con opciones personalizadas se pondrán en venta como artículos de eBay normales. Se omitirán todas las variantes."
Multi Variation Enabled,Variantes activadas
